,TP53 (M),RB1 (M),RB1/13q (Del),ATRX (M),ARID1A (M)
TP53 (M),-0.33,1.05,-0.01,-0.13,-0.0
RB1 (M),0.0,-3.2,0.12,-0.0,-0.18
RB1/13q (Del),-0.42,0.0,-1.05,-0.0,-0.84
ATRX (M),-0.79,-0.0,-0.14,-3.21,0.0
ARID1A (M),-0.32,-0.01,-0.68,0.87,-2.8
