,TP53 (M),RB1 (M),RB1/13q (Del),ATRX (M),EPHA7/6q (Del)
TP53 (M),-0.24,1.04,-0.01,-0.0,-0.43
RB1 (M),0.0,-3.07,0.3,-0.0,-0.98
RB1/13q (Del),-0.26,0.0,-1.33,-0.0,0.75
ATRX (M),-0.9,-0.0,-0.29,-3.16,-0.0
EPHA7/6q (Del),-2.44,-0.0,-0.67,-0.21,-0.5
