,TP53 (M),RB1 (M),RB1/13q (Del),ATRX (M),BCL2/18q (Del)
TP53 (M),-0.36,1.08,-0.23,-0.01,0.25
RB1 (M),0.0,-3.16,0.09,-0.0,-0.19
RB1/13q (Del),-0.3,0.0,-1.53,-0.21,1.4
ATRX (M),-0.94,-0.0,-0.0,-3.13,-0.35
BCL2/18q (Del),-2.2,-0.0,-1.29,-0.0,-0.56
