,TP53 (M),RB1 (M),RB1/13q (Del),ATRX (M),STK11 (M)
TP53 (M),-0.17,1.0,-0.31,-0.25,-0.89
RB1 (M),0.01,-3.06,0.0,-0.0,-1.56
RB1/13q (Del),-0.14,0.0,-1.1,-0.19,-0.43
ATRX (M),-0.57,-0.0,-0.02,-3.19,-0.95
STK11 (M),-2.31,-1.01,-1.73,-0.1,-1.08
