,TP53 (M),RB1 (M),RB1/13q (Del),ATRX (M),MYC/8q (Amp)
TP53 (M),-0.33,1.09,-0.01,-0.12,-0.0
RB1 (M),0.0,-3.05,0.19,-0.0,-0.73
RB1/13q (Del),-0.44,0.0,-1.07,-0.0,-0.0
ATRX (M),-0.73,-0.0,-0.15,-3.15,-0.29
MYC/8q (Amp),-1.25,-0.26,-0.56,-0.0,-0.42
