,TP53 (M),RB1 (M),RB1/13q (Del),ATRX (M),FAT1 (M)
TP53 (M),-0.3,1.0,-0.16,-0.07,-0.23
RB1 (M),0.07,-3.22,0.04,-0.0,0.01
RB1/13q (Del),-0.25,0.0,-1.11,-0.0,-0.54
ATRX (M),-0.83,-0.0,-0.16,-3.2,0.0
FAT1 (M),-0.06,0.0,-0.35,0.97,-3.03
