,ATRX (M),SETD2 (M),BCL2/18q (Del),SMAD4 (M),null
ATRX (M),-3.37,-0.24,-0.57,-0.09,0.0
SETD2 (M),-0.21,-3.0,-0.38,0.0,0.0
BCL2/18q (Del),-0.07,-0.27,-1.09,0.43,0.0
SMAD4 (M),-0.16,0.0,0.0,-3.39,0.0
null,0.0,0.0,0.0,0.0,0.0
