,ATRX (M),SETD2 (M),BCL2/18q (Del),SMAD4 (M),ERBB2 (M)
ATRX (M),-3.37,-0.23,-0.56,-0.08,-0.32
SETD2 (M),-0.22,-2.98,-0.38,0.0,-1.05
BCL2/18q (Del),-0.07,-0.26,-1.07,0.44,-0.57
SMAD4 (M),-0.16,0.0,0.0,-3.38,-0.4
ERBB2 (M),-0.28,-1.0,-0.8,-0.3,-3.06
