,ATRX (M),SETD2 (M),BCL2/18q (Del),SMAD4 (M),KEAP1 (M)
ATRX (M),-3.37,-0.23,-0.62,-0.02,0.0
SETD2 (M),-0.15,-2.94,-0.37,0.0,-0.76
BCL2/18q (Del),-0.0,-0.27,-1.04,0.46,-0.64
SMAD4 (M),-0.13,0.0,0.0,-3.32,-0.89
KEAP1 (M),0.0,-0.67,-1.19,-0.58,-1.87
