,ATRX (M),SETD2 (M),BCL2/18q (Del),SMAD4 (M),MCL1/1q (Amp)
ATRX (M),-3.26,-0.18,-0.58,-0.03,-0.38
SETD2 (M),-0.13,-2.76,-0.02,0.0,-1.43
BCL2/18q (Del),-0.0,-0.62,-1.0,0.55,-0.27
SMAD4 (M),-0.09,0.0,0.0,-3.25,-0.47
MCL1/1q (Amp),-0.02,-0.55,-1.28,-0.27,-0.39
