,ATRX (M),SETD2 (M),BCL2/18q (Del),SMAD4 (M),APC (M)
ATRX (M),-3.38,-0.23,-0.54,-0.08,-0.0
SETD2 (M),-0.21,-2.98,-0.44,0.0,-0.24
BCL2/18q (Del),-0.09,-0.2,-1.09,0.46,-0.15
SMAD4 (M),-0.16,0.0,0.0,-3.39,-0.0
APC (M),-0.0,-0.26,-0.56,-0.0,-3.35
