,ATRX (M),SETD2 (M),BCL2/18q (Del),SMAD4 (M),STK11 (M)
ATRX (M),-3.28,-0.27,-0.69,-0.06,-0.63
SETD2 (M),-0.19,-2.87,-0.37,0.0,-1.71
BCL2/18q (Del),-0.0,-0.35,-1.0,0.45,-0.73
SMAD4 (M),-0.14,0.0,0.0,-3.3,-0.91
STK11 (M),-0.6,-1.59,-1.51,-0.71,-1.47
