,ATRX (M),SETD2 (M),BCL2/18q (Del),SMAD4 (M),ARID1A (M)
ATRX (M),-3.37,-0.21,-0.57,-0.05,0.0
SETD2 (M),-0.28,-3.01,-0.33,0.0,0.01
BCL2/18q (Del),-0.03,-0.28,-1.07,0.46,-0.65
SMAD4 (M),-0.21,0.0,0.0,-3.39,-0.0
ARID1A (M),0.76,0.06,-0.6,-0.0,-2.91
