,T0,T1,T2,C_2
T0,-0.8,-0.08,0.01,-1.08
T1,-1.01,-1.9,0.76,0.0
T2,0.06,0.0,-2.09,0.06
C_2,-0.0,0.21,-0.29,-1.77
