,T0,T1,T2,E_1
T0,-0.88,-0.62,0.32,0.01
T1,-0.42,-1.88,-0.0,-0.52
T2,-0.32,0.68,-2.08,-0.0
E_1,0.0,-0.01,0.34,-2.57
