,T0,T1,T2,A_1
T0,-0.87,-0.83,-0.04,0.47
T1,-0.23,-1.92,-0.0,-0.39
T2,0.16,0.65,-2.13,-1.31
A_1,-0.65,-0.18,-0.0,-2.1
