,T0,T1,T2,B_1
T0,-0.87,-0.4,-0.23,0.06
T1,-0.77,-2.06,0.69,0.29
T2,0.25,0.0,-2.07,-0.16
B_1,-0.18,0.0,0.0,-0.02
