,T0,T1,T2,D_0
T0,-0.74,-0.87,0.09,0.0
T1,-0.45,-2.05,-0.0,1.0
T2,0.0,0.79,-2.05,-0.18
D_0,0.05,0.0,-0.0,-1.27
