,T0,T1,T2,E_2
T0,-0.75,-0.9,0.0,0.2
T1,-0.21,-1.84,-0.0,-0.22
T2,0.0,0.8,-2.15,0.53
E_2,0.0,-0.0,0.0,-2.18
