,T0,T1,T2,B_1
T0,-0.66,-0.87,0.12,-0.22
T1,-0.2,-1.86,0.0,0.0
T2,0.0,0.8,-2.09,-0.0
B_1,-0.0,0.33,-0.3,-0.01
