,TP53 (M),RB1 (M),RB1/13q (Del),ATRX (M),CDKN2A/9p (Del)
TP53 (M),-0.23,1.09,-0.11,-0.0,-0.35
RB1 (M),0.0,-2.97,0.5,-0.0,-1.74
RB1/13q (Del),-0.23,-0.0,-1.3,-0.0,0.53
ATRX (M),-0.88,-0.0,-0.04,-3.04,-0.7
CDKN2A/9p (Del),-1.12,-0.5,-0.0,-0.25,-0.4
