,TP53 (M),RB1 (M),RB1/13q (Del),ATRX (M),ATM (M)
TP53 (M),-0.25,0.0,-0.0,-0.0,-1.86
RB1 (M),1.03,-3.7,0.0,-0.0,-0.97
RB1/13q (Del),-0.38,0.0,-1.08,-0.02,-0.1
ATRX (M),-0.69,-0.0,-0.19,-3.27,0.56
ATM (M),-1.18,-0.5,-0.66,0.0,-2.34
