,TP53 (M),RB1 (M),RB1/13q (Del),ATRX (M),MYC/8q (Amp)
TP53 (M),-0.33,1.09,-0.01,-0.13,-0.0
RB1 (M),0.0,-3.05,0.19,-0.0,-0.74
RB1/13q (Del),-0.43,0.0,-1.07,-0.0,-0.0
ATRX (M),-0.72,-0.0,-0.15,-3.15,-0.29
MYC/8q (Amp),-1.25,-0.25,-0.56,-0.0,-0.42
