,TP53 (M),RB1 (M),RB1/13q (Del),ATRX (M),EGFR (M)
TP53 (M),-0.23,1.14,-0.37,-0.09,-0.29
RB1 (M),0.0,-3.18,0.0,-0.0,0.0
RB1/13q (Del),-0.03,0.0,-1.2,-0.0,-0.0
ATRX (M),-0.71,-0.0,-0.08,-3.02,-1.44
EGFR (M),-0.53,0.0,-0.0,-1.53,-0.76
