,TP53 (M),RB1 (M),RB1/13q (Del),ATRX (M),FAT1 (M)
TP53 (M),-0.31,0.0,-0.0,-0.11,-0.11
RB1 (M),1.05,-3.75,0.0,-0.0,0.0
RB1/13q (Del),-0.41,0.0,-1.06,-0.01,-0.55
ATRX (M),-0.79,-0.0,-0.14,-3.21,0.0
FAT1 (M),-0.15,0.0,-0.3,0.97,-3.01
