,TP53 (M),RB1 (M),RB1/13q (Del),ATRX (M),KRAS (M)
TP53 (M),-0.06,1.0,-0.0,-0.0,-0.91
RB1 (M),-0.0,-2.87,0.1,-0.0,-1.81
RB1/13q (Del),-0.6,-0.0,-0.8,-0.0,-0.77
ATRX (M),-0.45,-0.0,-0.01,-3.61,0.66
KRAS (M),-2.61,-0.0,-2.26,-0.0,0.1
