,TP53 (M),RB1 (M),RB1/13q (Del),ATRX (M),EGFR/7p (Amp)
TP53 (M),-0.31,0.0,-0.0,-0.0,-0.0
RB1 (M),1.01,-3.77,0.0,-0.0,0.15
RB1/13q (Del),-0.44,-0.0,-1.07,-0.08,-0.0
ATRX (M),-0.81,-0.0,-0.0,-3.07,-0.91
EGFR/7p (Amp),-0.0,0.0,-0.26,-0.11,-0.8
