,T0,T1,T2,D_0
T0,-0.93,-1.22,-0.25,0.41
T1,-0.37,-1.99,0.55,-0.0
T2,-0.0,0.05,-2.08,-0.0
D_0,-0.05,1.01,-0.03,-1.27
