,T0,T1,T2,C_1
T0,-0.84,-1.13,-0.05,-0.37
T1,-0.32,-1.99,0.58,-0.14
T2,-0.11,-0.0,-2.06,0.11
C_1,-0.39,0.34,-0.19,-1.82
