,T0,T1,T2,B_0
T0,-0.87,-0.82,-0.23,-0.0
T1,-0.56,-1.98,0.31,0.36
T2,0.01,0.32,-2.1,-0.07
B_0,-0.11,0.27,-0.07,-1.56
