,T0,T1,T2,E_3
T0,-0.98,-0.07,-0.05,0.52
T1,-0.45,-1.7,0.57,0.07
T2,-0.04,0.37,-2.15,0.87
E_3,-0.82,-0.23,-0.35,-1.65
