,T0,T1,T2,C_0
T0,-0.88,-0.42,-0.1,0.04
T1,0.0,-1.75,-0.0,0.11
T2,0.23,0.87,-2.09,-0.76
C_0,-0.76,0.28,0.4,-1.65
