,T0,T1,T2,B_0
T0,-0.89,-0.28,-0.0,-0.0
T1,-0.2,-1.82,-0.0,0.79
T2,0.11,0.84,-2.09,-0.27
B_0,-0.32,-0.03,0.02,-1.54
