,T0,T1,T2,B_0
T0,-0.9,-0.27,0.03,-0.23
T1,-0.24,-1.76,0.0,0.58
T2,0.28,0.86,-2.16,-0.47
B_0,-0.0,0.0,-0.11,-1.59
