,T0,T1,T2,C_3
T0,-0.75,-0.36,0.1,-0.54
T1,-0.0,-1.72,0.0,0.0
T2,0.29,0.78,-2.21,-0.0
C_3,-0.63,0.28,-0.18,-0.27
