,T0,T1,T2,C_0
T0,-0.63,-0.85,0.0,-0.02
T1,-0.34,-2.0,0.0,0.0
T2,0.37,0.54,-2.17,-0.3
C_0,-0.86,0.12,-0.16,-1.71
