,T0,T1,T2,A_1
T0,-0.73,-0.52,0.39,0.56
T1,-0.7,-1.91,0.0,-0.04
T2,0.0,0.6,-2.05,-0.43
A_1,0.0,-0.55,-0.3,-2.08
