,T0,T1,T2,B_1
T0,-0.65,-0.67,0.38,-0.07
T1,-0.5,-1.96,-0.0,0.0
T2,-0.0,0.56,-2.08,0.0
B_1,0.0,0.1,-0.52,-0.02
