,T0,T1,T2,D_0
T0,-0.88,-0.75,-0.0,-0.06
T1,-0.51,-2.02,-0.01,0.49
T2,0.18,0.6,-2.07,-0.0
D_0,-0.13,0.01,0.06,-2.2
