,T0,T1,T2,C_0
T0,-0.87,-0.99,-0.0,-0.0
T1,-0.3,-2.01,0.0,-0.05
T2,0.2,0.6,-2.06,-0.14
C_0,-1.02,0.0,-0.0,-1.73
