,T0,T1,T2,E_2
T0,-0.87,-0.94,-0.0,-0.0
T1,-0.32,-1.99,0.0,-0.27
T2,0.18,0.59,-2.09,0.22
E_2,-0.22,-0.0,0.0,-2.16
