,T0,T1,T2,B_0
T0,-0.87,-0.73,0.0,-0.11
T1,-0.51,-2.01,0.0,0.31
T2,0.21,0.64,-2.05,-0.35
B_0,-0.15,0.0,-0.0,-1.79
