,SMAD4 (M),PIK3CA (M),RB1/13q (Del)
SMAD4 (M),-3.27,-0.05,-0.67
PIK3CA (M),-0.06,-2.79,-0.51
RB1/13q (Del),-0.64,-0.52,-1.18
