,SMAD4 (M),PIK3CA (M),EPHA7/6q (Del)
SMAD4 (M),-3.29,-0.06,-0.49
PIK3CA (M),-0.03,-2.76,-0.65
EPHA7/6q (Del),-0.45,-0.61,-1.04
