,SMAD4 (M),PIK3CA (M),MCL1/1q (Amp)
SMAD4 (M),-3.23,-0.04,-0.55
PIK3CA (M),-0.03,-2.71,-0.61
MCL1/1q (Amp),-0.51,-0.58,-0.57
