,SMAD4 (M),PIK3CA (M),MYC/8q (Amp)
SMAD4 (M),-3.31,-0.05,-0.31
PIK3CA (M),-0.02,-2.73,-0.66
MYC/8q (Amp),-0.3,-0.62,-0.78
