,SMAD4 (M),PIK3CA (M),ERBB2 (M)
SMAD4 (M),-3.38,-0.08,-0.46
PIK3CA (M),-0.05,-2.89,-0.0
ERBB2 (M),-0.46,-0.01,-3.23
