,SMAD4 (M),PIK3CA (M),CDKN2A/9p (Del)
SMAD4 (M),-3.2,-0.03,-0.77
PIK3CA (M),-0.05,-2.75,-0.5
CDKN2A/9p (Del),-0.67,-0.47,-0.69
