,SMAD4 (M),PIK3CA (M),SMARCA4 (M)
SMAD4 (M),-3.35,-0.07,-0.83
PIK3CA (M),-0.07,-2.86,-0.59
SMARCA4 (M),-0.81,-0.6,-2.61
