,T0,T1,T2,B_0
T0,-0.81,-0.65,-0.0,-0.06
T1,-0.41,-1.99,-0.0,0.02
T2,-0.0,-0.0,-2.06,-0.1
B_0,-0.14,0.02,-0.04,-1.99
