,T0,T1,T2,D_0
T0,-0.79,-0.61,-0.0,-0.33
T1,-0.42,-1.99,-0.0,0.0
T2,-0.0,-0.0,-2.07,-0.0
D_0,-0.11,0.25,-0.0,-2.08
