,T0,T1,T2,C_3
T0,-0.69,-0.16,-0.0,-0.49
T1,-0.88,-1.9,-0.0,-0.0
T2,0.0,-0.0,-2.13,0.16
C_3,-0.0,-0.33,0.01,-0.31
