,T0,T1,T2,A_0
T0,-0.89,-0.37,-0.0,0.85
T1,-0.75,-1.93,0.0,-0.0
T2,-0.0,0.0,-2.04,-0.45
A_0,0.0,-0.0,-0.23,-2.23
