,T0,T1,T2,E_3
T0,-0.84,-0.3,-0.0,-0.0
T1,-0.12,-1.46,0.0,0.0
T2,0.44,0.52,-2.39,0.68
E_3,-0.0,0.15,0.0,-1.81
