,T0,T1,T2,C_2
T0,-0.8,-0.0,0.0,-0.95
T1,-0.37,-1.4,0.0,0.0
T2,0.46,0.66,-2.31,-0.0
C_2,-0.28,-0.0,-0.07,-1.74
