,T0,T1,T2,D_0
T0,-0.83,-0.43,0.01,-0.0
T1,-0.31,-1.78,0.53,1.19
T2,0.52,0.0,-2.19,0.0
D_0,-0.0,0.0,-0.0,-1.2
