,TP53 (M),MCL1/1q (Amp),TERT/5p (Amp),KRAS (M)
TP53 (M),0.63,-1.49,-3.99,-1.46
MCL1/1q (Amp),0.0,-0.01,-2.28,-1.3
TERT/5p (Amp),0.49,0.81,-0.9,-0.71
KRAS (M),-1.47,-0.11,-3.69,0.24
