,TP53 (M),MCL1/1q (Amp),TERT/5p (Amp),ARID2 (M)
TP53 (M),0.3,-2.92,-2.56,0.0
MCL1/1q (Amp),0.19,-0.64,-0.08,-0.62
TERT/5p (Amp),0.56,-0.19,-0.79,-0.15
ARID2 (M),0.25,-0.75,-0.8,-3.16
