,TP53 (M),MCL1/1q (Amp),TERT/5p (Amp),FAT1 (M)
TP53 (M),0.3,-2.9,-2.59,-0.0
MCL1/1q (Amp),0.18,-0.64,-0.12,-0.0
TERT/5p (Amp),0.56,-0.15,-0.8,-0.25
FAT1 (M),0.05,-0.75,-0.46,-2.78
