,TP53 (M),MCL1/1q (Amp),TERT/5p (Amp),SMARCA4 (M)
TP53 (M),0.31,-2.99,-2.69,-0.4
MCL1/1q (Amp),0.18,-0.66,-0.04,-0.11
TERT/5p (Amp),0.57,-0.23,-0.78,-0.18
SMARCA4 (M),-0.43,-0.23,-1.82,-2.11
