,TP53 (M),MCL1/1q (Amp),TERT/5p (Amp),PIK3CA (M)
TP53 (M),0.32,-2.94,-2.61,-0.7
MCL1/1q (Amp),0.19,-0.64,-0.09,-0.22
TERT/5p (Amp),0.57,-0.17,-0.78,-0.71
PIK3CA (M),-0.51,-0.94,-0.56,-2.34
