,TGFBR2 (M),SMAD4 (M),MYC/8q (Amp)
TGFBR2 (M),-2.15,-1.24,-1.59
SMAD4 (M),-1.32,-1.65,-0.95
MYC/8q (Amp),-1.57,-1.05,-0.21
