,TGFBR2 (M),SMAD4 (M),ID3/1p (Del)
TGFBR2 (M),-2.28,-1.17,-1.94
SMAD4 (M),-1.28,-1.81,-0.63
ID3/1p (Del),-1.98,-0.74,-0.82
