,TGFBR2 (M),SMAD4 (M),B2M/15q (Del)
TGFBR2 (M),-2.3,-1.22,-1.66
SMAD4 (M),-1.29,-1.77,-0.88
B2M/15q (Del),-1.7,-0.95,-0.85
